epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,3077.55,0.73318,0.48671,0.99227,0.65409,0.78333,0.79947,0.4291,1.30334,0.78789,1.35906,0.000324906,0.000324906,0.000324906
99,3108.6,0.78465,0.50577,1.00085,0.58871,0.74167,0.79307,0.41839,1.33675,0.79511,1.38518,0.000321812,0.000321812,0.000321812
100,3140.01,0.75503,0.48768,0.98953,0.62703,0.74067,0.7006,0.37907,1.35493,0.8543,1.39595,0.000318719,0.000318719,0.000318719
101,3171.21,0.75497,0.4952,1.00549,0.66916,0.77791,0.73627,0.38819,1.31327,0.90096,1.40129,0.000315625,0.000315625,0.000315625
102,3202.4,0.75833,0.49178,1.00643,0.64018,0.77953,0.74723,0.39837,1.37889,0.81254,1.44261,0.000312531,0.000312531,0.000312531
103,3233.97,0.76356,0.48764,0.99821,0.65038,0.76758,0.76159,0.42058,1.32909,0.81725,1.39104,0.000309437,0.000309437,0.000309437
104,3265.41,0.77979,0.48806,1.00976,0.64485,0.77587,0.76908,0.41436,1.387,0.87644,1.39178,0.000306344,0.000306344,0.000306344
105,3296.81,0.7369,0.47205,0.99255,0.63249,0.76359,0.78586,0.43522,1.31567,0.80472,1.36548,0.00030325,0.00030325,0.00030325
106,3328.24,0.76161,0.4924,0.99585,0.85611,0.65172,0.77191,0.39322,1.311,0.76118,1.38241,0.000300156,0.000300156,0.000300156
107,3359.63,0.72146,0.46915,0.97534,0.93035,0.63022,0.76446,0.408,1.36421,0.7946,1.4215,0.000297063,0.000297063,0.000297063
108,3391.13,0.74581,0.47615,0.99225,0.89994,0.64005,0.73628,0.38858,1.32821,0.81221,1.3922,0.000293969,0.000293969,0.000293969
109,3422.61,0.73185,0.47819,1.00432,0.60871,0.73669,0.74074,0.36886,1.41952,0.91638,1.42716,0.000290875,0.000290875,0.000290875
110,3454.17,0.73565,0.47643,0.9787,0.6472,0.80861,0.76962,0.41531,1.31595,0.8563,1.39279,0.000287781,0.000287781,0.000287781
111,3485.65,0.73442,0.46755,0.9709,0.93193,0.69491,0.7509,0.42142,1.3061,0.79993,1.37381,0.000284688,0.000284688,0.000284688
112,3516.99,0.75567,0.48289,1.00582,0.64188,0.78868,0.77625,0.40195,1.36788,0.83193,1.40735,0.000281594,0.000281594,0.000281594
113,3548.23,0.75083,0.47326,0.98626,0.89698,0.66192,0.75165,0.38616,1.35438,0.77493,1.38285,0.0002785,0.0002785,0.0002785
114,3579.43,0.72733,0.46238,0.98333,0.58957,0.69534,0.74153,0.38081,1.33166,0.75587,1.37197,0.000275406,0.000275406,0.000275406
115,3610.78,0.72432,0.45304,0.97329,0.59101,0.68129,0.74307,0.37556,1.38132,0.84083,1.39909,0.000272313,0.000272313,0.000272313
116,3642.03,0.70762,0.45991,0.97943,0.73576,0.6742,0.73523,0.40243,1.36437,0.81532,1.38419,0.000269219,0.000269219,0.000269219
117,3673.07,0.71436,0.46414,0.97543,0.78833,0.65185,0.74393,0.39842,1.38114,0.83773,1.37364,0.000266125,0.000266125,0.000266125
118,3704.31,0.71381,0.46015,0.96932,0.79538,0.66805,0.7524,0.41283,1.395,0.81823,1.37755,0.000263031,0.000263031,0.000263031
119,3735.43,0.72468,0.46202,0.97043,0.67118,0.6775,0.76989,0.42999,1.29918,0.78118,1.34329,0.000259938,0.000259938,0.000259938
120,3766.87,0.68034,0.44074,0.96066,0.63484,0.67904,0.71962,0.39449,1.31933,0.73829,1.35733,0.000256844,0.000256844,0.000256844
121,3798,0.67864,0.42891,0.95088,0.59654,0.70657,0.6937,0.38265,1.35555,0.74998,1.40864,0.00025375,0.00025375,0.00025375
122,3829.17,0.72248,0.46225,0.97139,0.90021,0.62008,0.72466,0.38683,1.32606,0.82765,1.39104,0.000250656,0.000250656,0.000250656
